📺央视数字频道,#genre#
吉林卫视,http://113.101.245.14:9988/udp/239.77.0.150:5146
吉林卫视,http://114.104.182.18:8686/udp/238.1.79.48:4496
吉林卫视,http://222.95.175.59:58888/udp/239.49.8.113:8000
吉林卫视,http://114.246.181.8:4022/udp/239.3.1.240:8172
辽宁卫视,http://111.162.165.87:8086/udp/225.1.1.154:5002
辽宁卫视,http://113.101.245.14:9988/udp/239.77.1.103:5146
辽宁卫视,http://114.104.182.18:8686/udp/238.1.78.21:6096
辽宁卫视,http://222.95.175.59:58888/udp/239.49.8.48:8000
黑龙江卫视,http://113.101.245.14:9988/udp/239.77.1.179:5146
黑龙江卫视,http://111.162.165.87:8086/udp/225.1.1.115:5002
黑龙江卫视,http://114.104.182.18:8686/udp/238.1.78.159:7144
黑龙江卫视,http://222.95.175.59:58888/udp/239.49.8.14:9426
黑龙江卫视,http://114.246.181.8:4022/udp/239.3.1.133:8016
黑龙江卫视,http://xrhui.f3322.org:8888/udp/233.50.200.189:5140
黑龙江卫视,http://uo202.1985001.xyz:66/udp/239.93.0.183:5140
甘肃卫视,http://111.162.165.87:8086/udp/225.1.1.159:5002
甘肃卫视,http://113.101.245.14:9988/udp/239.77.0.189:5146
甘肃卫视,http://222.95.175.59:58888/udp/239.49.0.250:8000
青海卫视,http://111.162.165.87:8086/udp/225.1.1.251:5002
青海卫视,http://222.95.175.59:58888/udp/239.49.0.81:8000
海南卫视,http://111.162.165.87:8086/udp/225.1.2.82:5002
海南卫视,http://222.95.175.59:58888/udp/239.49.8.83:8000
三沙卫视,http://111.162.165.87:8086/udp/225.1.1.182:5002
三沙卫视,http://113.101.245.14:9988/udp/239.253.43.113:5146
三沙卫视,http://222.95.175.59:58888/udp/239.49.0.167:8000
延边卫视,http://satellitepull.cnr.cn/live/wxybws/playlist.m3u8
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8

☘️山东专属频道,#genre#
山东文旅,http://139.129.231.228:50060/rtp/239.21.1.176:5002
JJ斗地主,https://lunbo.freetv.top/douyu/488743

🤾🏻体育频道,#genre#
广东体育,http://113.101.245.14:9988/udp/239.77.0.112:5146
纬来体育,https://cdn.iptv8k.top/dl/jrys.php?id=292&amp;amp;time=20240926215313&amp;amp;ip=111.229.253.40
睛彩竞技,http://xrhui.f3322.org:8888/udp/233.50.202.26:5140
四海钓鱼,http://120.76.248.139/live/bfgd/4200000229.m3u8
四海钓鱼,http://113.101.245.14:9988/udp/239.77.1.137:5146
四海钓鱼,http://111.162.165.87:8086/udp/225.1.2.202:5002
体育赛事,http://139.129.231.228:50060/rtp/239.21.2.44:5002
体育赛事,http://114.104.182.18:8686/udp/238.1.78.33:6192

📺影视频道,#genre#
CHC动作电影,http://111.162.165.87:8086/udp/225.1.1.215:5002
CHC影迷电影,http://111.162.165.87:8086/udp/225.1.1.214:5002
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CHC电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8?key=txiptv
IPTV经典电影,http://139.129.231.228:50060/rtp/239.21.1.124:5002
邵氏影院,http://live.nctv.top/douyu.php?id=4246519
都市剧场,https://satellitepull.cnr.cn/live/wxcqxwgb/playlist.m3u8
都市剧场,http://111.162.165.87:8086/udp/225.1.1.146:5002
靖天戏剧,https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
靖天映画,https://cdn.iptv8k.top/dl/jrys.php?id=320&time=20240926215313&ip=111.229.253.40
龙祥电影,https://tv543.cc/Smart.php?id=lungxiangtime_twn
东森洋片,https://cdn.iptv8k.top/dl/jrys.php?id=232&time=20240926215313&ip=111.229.253.40
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40#rtmp://f13h.mine.nu/sat/tv331#rtmp://f13h.mine.nu/sat/tv331
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
光影,http://114.246.181.8:4022/udp/239.3.1.84:4120
天映经典,https://cdn.iptv8k.top/dl/jrys.php?id=71&time=20240926215313&ip=111.229.253.40
星影,http://114.246.181.8:4022/udp/239.3.1.94:4120
星空卫视,https://cdn.iptv8k.top/dl/jrys.php?id=21&time=20240926215313&ip=111.229.253.40
星空卫视,http://122.53.222.9:9981/stream/channelid/2084767267?profile=pass
武侠剧场,http://114.246.181.8:4022/udp/239.3.1.90:4120
经典电影,https://cdn.iptv8k.top/dl/jrys.php?id=396&time=20240926215313&ip=111.229.253.40

📺NewTV频道,#genre#

📺iHOT频道,#genre#

📺求索频道,#genre#
求索纪录,http://113.101.245.14:9988/udp/239.77.0.21:5146

📺SiTV频道,#genre#
乐游,http://114.104.182.18:8686/udp/238.1.78.151:7080
动漫秀场,http://111.162.165.87:8086/udp/225.1.1.134:5002
动漫秀场,http://114.104.182.18:8686/udp/238.1.78.154:7104
游戏风云,http://111.162.165.87:8086/udp/225.1.1.135:5002
游戏风云,http://xrhui.f3322.org:8888/udp/233.50.201.183:5140
生活时尚,http://114.104.182.18:8686/udp/238.1.78.155:7112

🎮游戏频道,#genre#
游戏竞技,http://ygbh.site/php/bfgd.php?id=296
游戏竞技,http://113.101.245.14:9988/udp/239.77.0.211:5146
海看电竞,http://139.129.231.228:50060/rtp/239.21.1.135:5002

🎵音乐频道,#genre#
音乐现场,https://satellitepull.cnr.cn/live/wx32nmgyygb/playlist.m3u8
音乐现场,http://114.246.181.8:4022/udp/239.3.1.70:4120
音乐之声,http://a.live.hnradio.com/yypd/radio120k_yypd.m3u8?auth_key=1588751172-0-0-d97b858279c1c86650172b9913ea4af2
潮流音乐,http://111.162.165.87:8086/udp/225.1.2.55:5002
天津音乐,http://111.162.165.87:8086/udp/225.1.1.179:5002

🕘️更新时间,#genre#
2025-10-26 18:20:45,http://113.101.245.14:9988/udp/239.253.43.9:5146
